gene	logFC	pval	adj_pval
ESR1	-2.63828174983361	7.25933123285208e-28	2.8850210904404e-26
ESRRG	-1.80177326070197	1.62884295509641e-21	2.62824543490944e-20
ETFDH	-1.57914525209296	7.58276011443058e-28	3.00638384346424e-26
ETV4	1.03849326286937	9.2918887980458e-07	2.31456293590215e-06
EVI2B	-1.13311456686872	1.08552952777191e-15	7.75138837755486e-15
EXO1	2.64280664751508	4.43265906804548e-39	8.11127898913114e-37
EXPH5	-2.02692908971649	3.44545772504825e-17	2.98821677278664e-16
EYA2	-1.03082743030534	3.7958438081071e-11	1.56378998249875e-10
EZH2	1.74571490258204	1.4103889461839e-37	2.07838909131454e-35
F11	-1.45155413262215	6.71831282444072e-22	1.14507006297428e-20
F2RL2	-1.02735754326955	1.39329601008758e-09	4.79759411910223e-09
F3	-2.07641527391796	2.85596333888468e-21	4.49079334458052e-20
F8	-1.2668208472684	3.01660195568039e-21	4.72998641864312e-20
F9	-1.35611438584661	7.79770837833644e-12	3.4579968410402e-11
FAAH2	-1.02076665129656	1.25986198830363e-13	6.86942430557694e-13
FABP5L7	1.14959862994753	3.04323602891075e-15	2.05498647013065e-14
FADS1	1.63265086161268	4.49511613126783e-16	3.3717420638681e-15
FADS2	1.2857555116197	2.08716699994756e-15	1.43855566569234e-14
FAHD2A	-1.00782811404985	5.79631797584632e-22	1.00124778976964e-20
FAIM3	-1.18424629241229	4.88846004731563e-15	3.22770169341395e-14
FAM110C	-1.70018020489887	1.21416087208127e-12	5.90485012905879e-12
FAM111B	1.95964922483632	2.26493638273873e-31	1.4994272921265e-29
FAM133A	1.94722901439017	8.64082291071582e-11	3.42262091125689e-10
FAM134B	-2.26513175646149	3.50180679415661e-19	4.04103165185696e-18
FAM13A1	-1.47626725436189	1.57635652686338e-20	2.20029244638131e-19
FAM40B	1.12599013820689	2.71837248399178e-16	2.0976060520589e-15
FAM46C	-1.48039674903711	2.03623339446144e-18	2.09175561286686e-17
FAM53A	1.09512783785546	3.19084462725912e-11	1.32437549185241e-10
FAM54A	2.05342077873478	2.67451166375088e-32	1.96193692620174e-30
FAM55C	-1.21800575396554	1.53247985199846e-20	2.14264101557333e-19
FAM59A	-1.08054350237668	3.28847661061931e-22	5.86920820150405e-21
FAM79B	-1.14159123433815	1.03220411278158e-13	5.68394936707632e-13
